generation=30, rounds=50	ratio=50;50
strategy1=0 strategy2=1, 30	0.00	1.00
strategy1=0 strategy2=2, 30	0.19	0.81
strategy1=0 strategy2=3, 30	0.00	1.00
strategy1=0 strategy2=4, 30	0.00	1.00
strategy1=0 strategy2=5, 30	0.50	0.50
strategy1=0 strategy2=6, 30	0.00	1.00
strategy1=0 strategy2=7, 30	0.00	1.00
strategy1=0 strategy2=8, 30	0.68	0.32
strategy1=0 strategy2=9, 30	0.00	1.00
strategy1=0 strategy2=10, 30	0.00	1.00
strategy1=0 strategy2=11, 30	0.00	1.00
strategy1=0 strategy2=12, 30	0.00	1.00
strategy1=0 strategy2=13, 30	0.00	1.00
strategy1=0 strategy2=14, 30	0.00	1.00
strategy1=0 strategy2=15, 30	0.00	1.00
strategy1=0 strategy2=16, 30	0.00	1.00
strategy1=0 strategy2=17, 30	0.00	1.00
strategy1=1 strategy2=0, 30	1.00	0.00
strategy1=1 strategy2=2, 30	0.50	0.50
strategy1=1 strategy2=3, 30	0.50	0.50
strategy1=1 strategy2=4, 30	0.50	0.50
strategy1=1 strategy2=5, 30	1.00	0.00
strategy1=1 strategy2=6, 30	0.50	0.50
strategy1=1 strategy2=7, 30	1.00	0.00
strategy1=1 strategy2=8, 30	1.00	0.00
strategy1=1 strategy2=9, 30	0.50	0.50
strategy1=1 strategy2=10, 30	0.50	0.50
strategy1=1 strategy2=11, 30	0.50	0.50
strategy1=1 strategy2=12, 30	0.50	0.50
strategy1=1 strategy2=13, 30	0.50	0.50
strategy1=1 strategy2=14, 30	0.50	0.50
strategy1=1 strategy2=15, 30	1.00	0.00
strategy1=1 strategy2=16, 30	0.13	0.87
strategy1=1 strategy2=17, 30	0.64	0.36
strategy1=2 strategy2=0, 30	0.81	0.19
strategy1=2 strategy2=1, 30	0.50	0.50
strategy1=2 strategy2=3, 30	0.50	0.50
strategy1=2 strategy2=4, 30	0.50	0.50
strategy1=2 strategy2=5, 30	1.00	0.00
strategy1=2 strategy2=6, 30	0.50	0.50
strategy1=2 strategy2=7, 30	0.00	1.00
strategy1=2 strategy2=8, 30	0.03	0.97
strategy1=2 strategy2=9, 30	0.50	0.50
strategy1=2 strategy2=10, 30	0.50	0.50
strategy1=2 strategy2=11, 30	0.50	0.50
strategy1=2 strategy2=12, 30	0.50	0.50
strategy1=2 strategy2=13, 30	0.50	0.50
strategy1=2 strategy2=14, 30	0.50	0.50
strategy1=2 strategy2=15, 30	0.00	1.00
strategy1=2 strategy2=16, 30	0.00	1.00
strategy1=2 strategy2=17, 30	0.00	1.00
strategy1=3 strategy2=0, 30	1.00	0.00
strategy1=3 strategy2=1, 30	0.50	0.50
strategy1=3 strategy2=2, 30	0.50	0.50
strategy1=3 strategy2=4, 30	0.50	0.50
strategy1=3 strategy2=5, 30	1.00	0.00
strategy1=3 strategy2=6, 30	0.50	0.50
strategy1=3 strategy2=7, 30	1.00	0.00
strategy1=3 strategy2=8, 30	1.00	0.00
strategy1=3 strategy2=9, 30	0.50	0.50
strategy1=3 strategy2=10, 30	0.50	0.50
strategy1=3 strategy2=11, 30	0.50	0.50
strategy1=3 strategy2=12, 30	0.50	0.50
strategy1=3 strategy2=13, 30	0.50	0.50
strategy1=3 strategy2=14, 30	0.50	0.50
strategy1=3 strategy2=15, 30	0.64	0.36
strategy1=3 strategy2=16, 30	0.14	0.86
strategy1=3 strategy2=17, 30	0.63	0.37
strategy1=4 strategy2=0, 30	1.00	0.00
strategy1=4 strategy2=1, 30	0.50	0.50
strategy1=4 strategy2=2, 30	0.50	0.50
strategy1=4 strategy2=3, 30	0.50	0.50
strategy1=4 strategy2=5, 30	1.00	0.00
strategy1=4 strategy2=6, 30	0.50	0.50
strategy1=4 strategy2=7, 30	1.00	0.00
strategy1=4 strategy2=8, 30	1.00	0.00
strategy1=4 strategy2=9, 30	0.50	0.50
strategy1=4 strategy2=10, 30	0.50	0.50
strategy1=4 strategy2=11, 30	0.50	0.50
strategy1=4 strategy2=12, 30	0.50	0.50
strategy1=4 strategy2=13, 30	0.50	0.50
strategy1=4 strategy2=14, 30	0.50	0.50
strategy1=4 strategy2=15, 30	0.62	0.38
strategy1=4 strategy2=16, 30	0.08	0.92
strategy1=4 strategy2=17, 30	0.64	0.36
strategy1=5 strategy2=0, 30	0.50	0.50
strategy1=5 strategy2=1, 30	0.00	1.00
strategy1=5 strategy2=2, 30	0.00	1.00
strategy1=5 strategy2=3, 30	0.00	1.00
strategy1=5 strategy2=4, 30	0.00	1.00
strategy1=5 strategy2=6, 30	0.00	1.00
strategy1=5 strategy2=7, 30	0.00	1.00
strategy1=5 strategy2=8, 30	0.07	0.93
strategy1=5 strategy2=9, 30	0.00	1.00
strategy1=5 strategy2=10, 30	0.00	1.00
strategy1=5 strategy2=11, 30	0.00	1.00
strategy1=5 strategy2=12, 30	0.00	1.00
strategy1=5 strategy2=13, 30	0.00	1.00
strategy1=5 strategy2=14, 30	0.00	1.00
strategy1=5 strategy2=15, 30	0.00	1.00
strategy1=5 strategy2=16, 30	0.00	1.00
strategy1=5 strategy2=17, 30	0.00	1.00
strategy1=6 strategy2=0, 30	1.00	0.00
strategy1=6 strategy2=1, 30	0.50	0.50
strategy1=6 strategy2=2, 30	0.50	0.50
strategy1=6 strategy2=3, 30	0.50	0.50
strategy1=6 strategy2=4, 30	0.50	0.50
strategy1=6 strategy2=5, 30	1.00	0.00
strategy1=6 strategy2=7, 30	1.00	0.00
strategy1=6 strategy2=8, 30	1.00	0.00
strategy1=6 strategy2=9, 30	0.50	0.50
strategy1=6 strategy2=10, 30	0.50	0.50
strategy1=6 strategy2=11, 30	0.50	0.50
strategy1=6 strategy2=12, 30	0.50	0.50
strategy1=6 strategy2=13, 30	0.50	0.50
strategy1=6 strategy2=14, 30	0.50	0.50
strategy1=6 strategy2=15, 30	1.00	0.00
strategy1=6 strategy2=16, 30	0.00	1.00
strategy1=6 strategy2=17, 30	0.10	0.90
strategy1=7 strategy2=0, 30	1.00	0.00
strategy1=7 strategy2=1, 30	0.00	1.00
strategy1=7 strategy2=2, 30	1.00	0.00
strategy1=7 strategy2=3, 30	0.00	1.00
strategy1=7 strategy2=4, 30	0.00	1.00
strategy1=7 strategy2=5, 30	1.00	0.00
