generation=30, rounds=50	ratio=10;90
strategy1=7 strategy2=9, 30	0.00	1.00
strategy1=7 strategy2=10, 30	0.00	1.00
strategy1=7 strategy2=11, 30	0.00	1.00
strategy1=7 strategy2=12, 30	0.00	1.00
strategy1=7 strategy2=13, 30	0.00	1.00
strategy1=7 strategy2=14, 30	0.00	1.00
strategy1=7 strategy2=15, 30	0.00	1.00
strategy1=7 strategy2=16, 30	0.00	1.00
strategy1=7 strategy2=17, 30	0.00	1.00
strategy1=8 strategy2=0, 30	0.37	0.63
strategy1=8 strategy2=1, 30	0.00	1.00
strategy1=8 strategy2=2, 30	0.70	0.30
strategy1=8 strategy2=3, 30	0.00	1.00
strategy1=8 strategy2=4, 30	0.00	1.00
strategy1=8 strategy2=5, 30	0.75	0.25
strategy1=8 strategy2=6, 30	0.00	1.00
strategy1=8 strategy2=7, 30	0.00	1.00
strategy1=8 strategy2=9, 30	0.00	1.00
strategy1=8 strategy2=10, 30	0.00	1.00
strategy1=8 strategy2=11, 30	0.00	1.00
strategy1=8 strategy2=12, 30	0.00	1.00
strategy1=8 strategy2=13, 30	0.00	1.00
strategy1=8 strategy2=14, 30	0.00	1.00
strategy1=8 strategy2=15, 30	0.00	1.00
strategy1=8 strategy2=16, 30	0.00	1.00
strategy1=8 strategy2=17, 30	0.00	1.00
strategy1=9 strategy2=0, 30	1.00	0.00
strategy1=9 strategy2=1, 30	0.10	0.90
strategy1=9 strategy2=2, 30	0.10	0.90
strategy1=9 strategy2=3, 30	0.10	0.90
strategy1=9 strategy2=4, 30	0.10	0.90
strategy1=9 strategy2=5, 30	1.00	0.00
strategy1=9 strategy2=6, 30	0.10	0.90
strategy1=9 strategy2=7, 30	1.00	0.00
strategy1=9 strategy2=8, 30	1.00	0.00
strategy1=9 strategy2=10, 30	0.10	0.90
strategy1=9 strategy2=11, 30	0.10	0.90
strategy1=9 strategy2=12, 30	0.10	0.90
strategy1=9 strategy2=13, 30	0.10	0.90
strategy1=9 strategy2=14, 30	0.10	0.90
strategy1=9 strategy2=15, 30	0.00	1.00
strategy1=9 strategy2=16, 30	0.00	1.00
strategy1=9 strategy2=17, 30	0.00	1.00
strategy1=10 strategy2=0, 30	1.00	0.00
strategy1=10 strategy2=1, 30	0.10	0.90
strategy1=10 strategy2=2, 30	0.10	0.90
strategy1=10 strategy2=3, 30	0.10	0.90
strategy1=10 strategy2=4, 30	0.10	0.90
strategy1=10 strategy2=5, 30	1.00	0.00
strategy1=10 strategy2=6, 30	0.10	0.90
strategy1=10 strategy2=7, 30	1.00	0.00
strategy1=10 strategy2=8, 30	1.00	0.00
strategy1=10 strategy2=9, 30	0.10	0.90
strategy1=10 strategy2=11, 30	0.10	0.90
strategy1=10 strategy2=12, 30	0.10	0.90
strategy1=10 strategy2=13, 30	0.10	0.90
strategy1=10 strategy2=14, 30	0.10	0.90
strategy1=10 strategy2=15, 30	1.00	0.00
strategy1=10 strategy2=16, 30	0.00	1.00
strategy1=10 strategy2=17, 30	0.00	1.00
strategy1=11 strategy2=0, 30	1.00	0.00
strategy1=11 strategy2=1, 30	0.10	0.90
strategy1=11 strategy2=2, 30	0.10	0.90
strategy1=11 strategy2=3, 30	0.10	0.90
strategy1=11 strategy2=4, 30	0.10	0.90
strategy1=11 strategy2=5, 30	1.00	0.00
strategy1=11 strategy2=6, 30	0.10	0.90
strategy1=11 strategy2=7, 30	1.00	0.00
strategy1=11 strategy2=8, 30	1.00	0.00
strategy1=11 strategy2=9, 30	0.10	0.90
strategy1=11 strategy2=10, 30	0.10	0.90
strategy1=11 strategy2=12, 30	0.10	0.90
strategy1=11 strategy2=13, 30	0.10	0.90
strategy1=11 strategy2=14, 30	0.10	0.90
strategy1=11 strategy2=15, 30	0.00	1.00
strategy1=11 strategy2=16, 30	0.00	1.00
strategy1=11 strategy2=17, 30	0.00	1.00

strategy1=12 strategy2=0, 30	1.00	0.00
strategy1=12 strategy2=1, 30	0.10	0.90
strategy1=12 strategy2=2, 30	0.10	0.90
strategy1=12 strategy2=3, 30	0.10	0.90
strategy1=12 strategy2=4, 30	0.10	0.90
strategy1=12 strategy2=5, 30	1.00	0.00
strategy1=12 strategy2=6, 30	0.10	0.90
strategy1=12 strategy2=7, 30	1.00	0.00
strategy1=12 strategy2=8, 30	1.00	0.00
strategy1=12 strategy2=9, 30	0.10	0.90
strategy1=12 strategy2=10, 30	0.10	0.90
strategy1=12 strategy2=11, 30	0.10	0.90
strategy1=12 strategy2=13, 30	0.10	0.90
strategy1=12 strategy2=14, 30	0.10	0.90
strategy1=12 strategy2=15, 30	1.00	0.00
strategy1=12 strategy2=16, 30	0.00	1.00
strategy1=12 strategy2=17, 30	0.00	1.00
strategy1=13 strategy2=0, 30	1.00	0.00
strategy1=13 strategy2=1, 30	0.10	0.90
strategy1=13 strategy2=2, 30	0.10	0.90
strategy1=13 strategy2=3, 30	0.10	0.90
strategy1=13 strategy2=4, 30	0.10	0.90
