turn=0generation=30, rounds=50
generation=17	strategy0=0.0008	strategy1=0.1124	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0568	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=18	strategy0=0.0007	strategy1=0.1125	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0568	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=19	strategy0=0.0008	strategy1=0.1125	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=20	strategy0=0.0007	strategy1=0.1125	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=21	strategy0=0.0007	strategy1=0.1125	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=22	strategy0=0.0008	strategy1=0.1125	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=23	strategy0=0.0007	strategy1=0.1125	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0550	strategy17=0.0573	
generation=24	strategy0=0.0007	strategy1=0.1126	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0549	strategy17=0.0573	
generation=25	strategy0=0.0007	strategy1=0.1126	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0549	strategy17=0.0573	
generation=26	strategy0=0.0007	strategy1=0.1126	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0549	strategy17=0.0573	
generation=27	strategy0=0.0007	strategy1=0.1127	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0549	strategy17=0.0573	
generation=28	strategy0=0.0007	strategy1=0.1127	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0549	strategy17=0.0573	
generation=29	strategy0=0.0007	strategy1=0.1127	strategy2=0.0553	strategy3=0.0557	strategy4=0.0547	strategy5=0.0525	strategy6=0.0551	strategy7=0.0567	strategy8=0.0546	strategy9=0.0558	strategy10=0.0563	strategy11=0.0552	strategy12=0.0543	strategy13=0.0571	strategy14=0.0559	strategy15=0.0552	strategy16=0.0549	strategy17=0.0573	

turn=1generation=30, rounds=50
generation=0	strategy0=0.0573	strategy1=0.0548	strategy2=0.0571	strategy3=0.0549	strategy4=0.0554	strategy5=0.0552	strategy6=0.0534	strategy7=0.0539	strategy8=0.0571	strategy9=0.0542	strategy10=0.0570	strategy11=0.0553	strategy12=0.0575	strategy13=0.0553	strategy14=0.0527	strategy15=0.0589	strategy16=0.0562	strategy17=0.0540	
generation=1	strategy0=0.0032	strategy1=0.1119	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0534	strategy6=0.0534	strategy7=0.0537	strategy8=0.0564	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
