generation=30, rounds=50	ratio=10;90
strategy1=5 strategy2=0, 30	0.09	0.91, smallcompany1=0.0939,smallcompany2=0.9061, bigcompany1=0.0967,bigcompany2=0.9033
strategy1=5 strategy2=1, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=2, 30	0.00	1.00, smallcompany1=0.0003,smallcompany2=0.9997, bigcompany1=0.0017,bigcompany2=0.9983
strategy1=5 strategy2=3, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=4, 30	0.00	1.00, smallcompany1=0.0002,smallcompany2=0.9998, bigcompany1=0.0013,bigcompany2=0.9987
strategy1=5 strategy2=6, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=7, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=8, 30	0.14	0.86, smallcompany1=0.1399,smallcompany2=0.8601, bigcompany1=0.1361,bigcompany2=0.8639
strategy1=5 strategy2=9, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=10, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=11, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=12, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=13, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0006,bigcompany2=0.9994
strategy1=5 strategy2=14, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0004,bigcompany2=0.9996
strategy1=5 strategy2=15, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=17, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=6 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=6 strategy2=1, 30	0.11	0.89, smallcompany1=0.1064,smallcompany2=0.8936, bigcompany1=0.1037,bigcompany2=0.8963
strategy1=6 strategy2=2, 30	0.10	0.90, smallcompany1=0.1008,smallcompany2=0.8992, bigcompany1=0.0980,bigcompany2=0.9020
strategy1=6 strategy2=3, 30	0.10	0.91, smallcompany1=0.0960,smallcompany2=0.9040, bigcompany1=0.0927,bigcompany2=0.9073
strategy1=6 strategy2=4, 30	0.10	0.90, smallcompany1=0.0988,smallcompany2=0.9012, bigcompany1=0.0960,bigcompany2=0.9040
strategy1=6 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=6 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
