generation=30, rounds=50	ratio=70;30
strategy1=10 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=1, 30	0.70	0.30, smallcompany1=0.7039,smallcompany2=0.2961, bigcompany1=0.7027,bigcompany2=0.2973
strategy1=10 strategy2=2, 30	0.70	0.30, smallcompany1=0.7023,smallcompany2=0.2977, bigcompany1=0.7031,bigcompany2=0.2969
strategy1=10 strategy2=3, 30	0.70	0.30, smallcompany1=0.6963,smallcompany2=0.3037, bigcompany1=0.7000,bigcompany2=0.3000
strategy1=10 strategy2=4, 30	0.71	0.29, smallcompany1=0.7131,smallcompany2=0.2869, bigcompany1=0.7075,bigcompany2=0.2925
strategy1=10 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=6, 30	0.70	0.30, smallcompany1=0.7014,smallcompany2=0.2986, bigcompany1=0.7018,bigcompany2=0.2982
strategy1=10 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=9, 30	0.69	0.31, smallcompany1=0.6829,smallcompany2=0.3171, bigcompany1=0.6923,bigcompany2=0.3077
strategy1=10 strategy2=11, 30	0.70	0.30, smallcompany1=0.6975,smallcompany2=0.3025, bigcompany1=0.7020,bigcompany2=0.2980
strategy1=10 strategy2=12, 30	0.70	0.30, smallcompany1=0.7030,smallcompany2=0.2970, bigcompany1=0.7015,bigcompany2=0.2985
strategy1=10 strategy2=13, 30	0.70	0.30, smallcompany1=0.7031,smallcompany2=0.2969, bigcompany1=0.7004,bigcompany2=0.2996
strategy1=10 strategy2=14, 30	0.70	0.30, smallcompany1=0.7004,smallcompany2=0.2996, bigcompany1=0.7006,bigcompany2=0.2994
strategy1=10 strategy2=15, 30	0.97	0.03, smallcompany1=0.9694,smallcompany2=0.0306, bigcompany1=0.9691,bigcompany2=0.0309
strategy1=10 strategy2=16, 30	0.97	0.03, smallcompany1=0.9662,smallcompany2=0.0338, bigcompany1=0.9651,bigcompany2=0.0349
strategy1=10 strategy2=17, 30	0.95	0.05, smallcompany1=0.9557,smallcompany2=0.0443, bigcompany1=0.9513,bigcompany2=0.0487
strategy1=11 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=11 strategy2=1, 30	0.69	0.31, smallcompany1=0.6891,smallcompany2=0.3109, bigcompany1=0.6899,bigcompany2=0.3101
strategy1=11 strategy2=2, 30	0.70	0.30, smallcompany1=0.7004,smallcompany2=0.2996, bigcompany1=0.7020,bigcompany2=0.2980
strategy1=11 strategy2=3, 30	0.71	0.29, smallcompany1=0.7072,smallcompany2=0.2928, bigcompany1=0.7085,bigcompany2=0.2915
strategy1=11 strategy2=4, 30	0.71	0.29, smallcompany1=0.7124,smallcompany2=0.2876, bigcompany1=0.7106,bigcompany2=0.2894
strategy1=11 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=11 strategy2=6, 30	0.70	0.30, smallcompany1=0.7043,smallcompany2=0.2957, bigcompany1=0.6991,bigcompany2=0.3009
strategy1=11 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=11 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=11 strategy2=9, 30	0.70	0.30, smallcompany1=0.7048,smallcompany2=0.2952, bigcompany1=0.7018,bigcompany2=0.2982
strategy1=11 strategy2=10, 30	0.70	0.30, smallcompany1=0.7018,smallcompany2=0.2982, bigcompany1=0.7008,bigcompany2=0.2992
strategy1=11 strategy2=12, 30	0.70	0.30, smallcompany1=0.6989,smallcompany2=0.3011, bigcompany1=0.6997,bigcompany2=0.3003
strategy1=11 strategy2=13, 30	0.71	0.29, smallcompany1=0.7080,smallcompany2=0.2920, bigcompany1=0.7006,bigcompany2=0.2994
strategy1=11 strategy2=14, 30	0.70	0.30, smallcompany1=0.7034,smallcompany2=0.2966, bigcompany1=0.7040,bigcompany2=0.2960
strategy1=11 strategy2=15, 30	0.99	0.01, smallcompany1=0.9900,smallcompany2=0.0100, bigcompany1=0.9891,bigcompany2=0.0109
